"","age_group","sex","miles","acc_inv"
"321","(16,18]","F","3","0"
"322","(18,21]","M","3","0"
"323","(16,18]","M","3","0"
"324","(18,21]","F","3","0"
"325","(16,18]","F","3","0"
"326","(18,21]","F","3","0"
"327","(21,80]","F","2","0"
"328","(18,21]","M","2","0"
"329","(16,18]","M","3","0"
"330","(16,18]","F","3","0"
"331","(21,80]","M","3","0"
"332","(18,21]","M","1","0"
"333","(21,80]","F","3","0"
"334","(18,21]","M","2","0"
"335","(21,80]","F","3","0"
"336","(16,18]","M","2","1+"
"337","(16,18]","M","2","0"
"338","(16,18]","F","3","0"
"339","(16,18]","F","3","0"
"340","(18,21]","M","2","0"
"341","(16,18]","M","3","0"
"342","(18,21]","F",NA,"0"
"343","(21,80]","M","3","0"
"344","(16,18]","F","3","0"
"345","(21,80]","F",NA,"0"
"346","(21,80]","F","3","0"
"347","(21,80]","F","2","0"
"348","(21,80]","F","3","0"
"349","(16,18]","F","3","0"
"350","(18,21]","F","2","0"
"351","(21,80]","M","3","0"
"352","(21,80]","M","3","0"
"353","(16,18]","F","3","0"
"354","(18,21]","M","3","0"
"355","(16,18]","M","1","0"
"356","(21,80]","F","3","0"
"357","(16,18]","M","3","0"
"358","(18,21]","F","2","0"
"359","(18,21]","M","2","0"
"360","(16,18]","F","1","0"
"361","(16,18]","M","2","0"
"362","(21,80]","F","2","0"
"363","(18,21]","F","3","0"
"364","(18,21]","M","3","0"
"365","(18,21]","F","3","1+"
"366","(21,80]","M","3","0"
"367","(21,80]","F","3","0"
"368","(18,21]","F","2","0"
"369","(21,80]","M","2","1+"
"370","(18,21]","M","3","0"
"371","(18,21]","M","3","0"
"372","(16,18]","M","2","0"
"373","(16,18]","F",NA,"1+"
"374","(16,18]","F","2","0"
"375","(16,18]","F","3","0"
"376","(18,21]","M","2","0"
"377","(16,18]","F","3","0"
"378","(16,18]","M","3","1+"
"379","(18,21]","F","3","0"
"380","(21,80]","F","2","0"
"381","(16,18]","F","3","1+"
"382","(16,18]","F","2","0"
"383","(16,18]","M","1","0"
"384","(16,18]","F","3","0"
"385","(16,18]","M","2","0"
"386","(18,21]","M","3","0"
"387","(16,18]","F",NA,"0"
"388","(16,18]","M","3","0"
"389","(18,21]","M","2","0"
"390","(21,80]","F","3","0"
"391","(16,18]","M","3","0"
"392","(16,18]","F","2","0"
"393","(18,21]","F","3","0"
"394","(21,80]","F","3","0"
"395","(21,80]","M","2","0"
"396","(18,21]","F","2","0"
"397","(16,18]","M","3","0"
"398","(21,80]","F","3","0"
"399","(21,80]","F","3","1+"
"400","(16,18]","M","3","0"
"401","(21,80]","F","3","0"
"402","(18,21]","F","3","0"
"403","(21,80]","F","3","0"
"404","(16,18]","M","1","0"
"405","(21,80]","M","2","0"
"406","(16,18]","M","2","0"
"407","(21,80]","F","3","0"
"408","(18,21]","F","3","0"
"409","(16,18]","M","2","0"
"410","(18,21]","F","3","0"
"411","(16,18]","F","3","0"
"412","(16,18]","F","2","0"
"413","(18,21]","F",NA,"1+"
"414","(21,80]","M","2","0"
"415","(16,18]","F","2","0"
"416","(21,80]","F","3","0"
"417","(21,80]","F","2","0"
"418","(16,18]","M","1","0"
"419","(18,21]","F","3",NA
"420","(16,18]","M","1","1+"
"421","(21,80]","F","3","0"
"422","(18,21]","M","3","0"
"423","(21,80]","F","3","0"
"424","(16,18]","M","2","0"
"425","(18,21]","F","1","0"
"426","(16,18]","M","2","0"
"427","(16,18]","F","3","0"
"428","(21,80]","F","1","0"
"429","(21,80]","M","3","0"
"430","(21,80]","F","3",NA
"431","(16,18]","M","3","0"
"432","(18,21]","F","2","0"
"433","(16,18]","M","3","0"
"434","(16,18]","M","3","0"
"435","(21,80]","F","3","0"
"436","(16,18]","M",NA,"0"
"437","(16,18]","F",NA,"0"
"438","(16,18]","M","3","0"
"439","(16,18]","F","3","0"
"440","(16,18]","M","3","0"
"441","(18,21]","F","3","0"
"442","(18,21]","F","1","0"
"443","(16,18]","M","2","0"
"444","(18,21]","F","3","0"
"445","(21,80]","F","3","0"
"446","(16,18]","M","2","0"
"447","(21,80]","M",NA,"0"
"448","(16,18]","M","2","0"
"449","(16,18]","F","3","0"
"450","(21,80]","F","3","0"
"451","(16,18]","M","2","0"
"452","(16,18]","M","2","0"
"453","(21,80]","M","1","0"
"454","(21,80]","F","3","0"
"455","(16,18]","M","1","1+"
"456","(16,18]","F","1","0"
"457","(16,18]","M","3","0"
"458","(16,18]","M","2","0"
"459","(21,80]","F","3","0"
"460","(21,80]","M","3","0"
"461","(18,21]","M","2","0"
"462","(21,80]","M","3","0"
"463","(18,21]","F","3","0"
"464","(16,18]","F","2","0"
"465","(16,18]","F","3","0"
"466","(21,80]","F","2","0"
"467","(21,80]","M","2","0"
"468","(18,21]","F","3","0"
"469","(16,18]","F",NA,"0"
"470","(16,18]","F","2","0"
"471","(18,21]","F",NA,"0"
"472","(21,80]","F","3","0"
"473","(16,18]","F","2","0"
"474","(16,18]","F","3","0"
"475","(18,21]","F","3","0"
"476","(16,18]","F","3","0"
"477","(16,18]","F","2","0"
"478","(16,18]","F","2","0"
"479","(16,18]","M","2","1+"
"480","(21,80]","F","2","0"
"481","(16,18]","M","2","0"
"482","(16,18]","F","3","0"
"483","(16,18]","F","3","0"
"484","(16,18]","M","2","0"
"485","(18,21]","F","3","0"
"486","(18,21]","M","3","1+"
"487","(21,80]","F","3","0"
"488","(16,18]","M","1","0"
"489","(21,80]","F",NA,"0"
"490","(16,18]","M","3","0"
"491","(16,18]","M","3","0"
"492","(21,80]","F","3","0"
"493","(16,18]","M","2","0"
"494","(16,18]","M","2","0"
"495","(21,80]","M","2","0"
"496","(18,21]","F","1","0"
"497","(18,21]","F","3","0"
"498","(16,18]","F","2","0"
"499","(21,80]","F","2","0"
"500","(16,18]","M","2","0"
"501","(18,21]","F",NA,"0"
"502","(18,21]","F","3","0"
"503","(21,80]","M","3","0"
"504","(21,80]","F","3","0"
"505","(16,18]","M","2","1+"
"506","(16,18]","F","3","0"
"507","(18,21]","F","2","0"
"508","(16,18]","F","3","0"
"509","(18,21]","F","2","1+"
"510","(21,80]","M","3","0"
"511","(21,80]","F","3","0"
"512","(16,18]","M","2","1+"
"513","(16,18]","M","3","0"
"514","(16,18]","M","3","0"
"515","(21,80]","F","3","0"
"516","(18,21]","F","3","0"
"517","(18,21]","M","2","0"
"518","(16,18]","F","3","0"
"519","(18,21]","M","3","0"
"520","(16,18]","F","2","0"
"521","(18,21]","M","2","0"
"522","(21,80]","M","1","0"
"523","(18,21]","F","2","0"
"524","(16,18]","M","3","0"
"525","(21,80]","M","1","0"
"526","(18,21]","F","3","0"
"527","(16,18]","M","2","0"
"528","(16,18]","M","3","0"
"529","(16,18]","M","3","0"
"530","(16,18]","M","3","0"
"531","(18,21]","F","3","0"
"532","(21,80]","M","3","0"
"533","(18,21]","M","2","0"
"534","(18,21]","F","2","0"
"535","(16,18]","M","2","0"
"536","(16,18]","F","3","0"
"537","(21,80]","F","3","0"
"538","(16,18]","F","2","0"
"539","(16,18]","F","2","0"
"540","(18,21]","F","3","0"
"541","(16,18]","F","3","0"
"542","(16,18]","M","3","0"
"543","(16,18]","M","3","0"
"544","(21,80]","M","3","0"
"545","(16,18]","F","2","0"
"546","(16,18]","M","1","1+"
"547","(18,21]","F","3","0"
"548","(18,21]","M","2","0"
"549","(16,18]","M","2","0"
"550","(21,80]","F",NA,"0"
"551","(21,80]","M","3","0"
"552","(18,21]","F","3","0"
"553","(18,21]","M","1","1+"
"554","(21,80]","F",NA,"0"
"555","(16,18]","M","3","0"
"556","(21,80]","M","3","0"
"557","(18,21]","M","1","1+"
"558","(21,80]","M",NA,"0"
"559","(21,80]","F","2","0"
"560","(18,21]","M","2","0"
"561","(18,21]","F","1","0"
"562","(18,21]","F","1","0"
"563","(21,80]","M","1","0"
"564","(18,21]","M","2","0"
"565","(16,18]","M","3","0"
"566","(18,21]","M","3","0"
"567","(18,21]","F","3","0"
"568","(16,18]","M","3","0"
"569","(18,21]","F","2","0"
"570","(21,80]","M","3","0"
"571","(21,80]","F","3","0"
"572","(16,18]","M","2","0"
"573","(16,18]","F","1","0"
"574","(21,80]","F","3","0"
"575","(21,80]","F","3","0"
"576","(16,18]","F","3","0"
"577","(21,80]","F","3","0"
"578","(16,18]","M","2","0"
"579","(18,21]","F","2","0"
"580","(18,21]","F",NA,"0"
"581","(16,18]","M","3","0"
"582","(16,18]","F","3","0"
"583","(21,80]","M","2","0"
"584","(16,18]","F","3","0"
"585","(21,80]","F","1","0"
"586","(21,80]","M","3","0"
"587","(16,18]","F","3","0"
"588","(18,21]","F",NA,"0"
"589","(21,80]","M","2","0"
"590","(18,21]","F","3","0"
"591","(18,21]","F","3","0"
"592","(16,18]","M","3","0"
"593","(16,18]","M","3","0"
"594","(16,18]","M","3","0"
"595","(18,21]","F",NA,"0"
"596","(21,80]","F","1","0"
"597","(16,18]","M","3","1+"
"598","(21,80]","M","1","0"
"599","(16,18]","M",NA,"0"
"600","(16,18]","M","3","0"
"601","(16,18]","M","3","0"
"602","(18,21]","F","3","0"
"603","(21,80]","F","3","0"
"604","(18,21]","M","3","0"
"605","(18,21]","F","3","0"
"606","(21,80]","F","3","0"
"607","(16,18]","F","2","0"
"608","(18,21]","F","3","0"
"609","(16,18]","F","2","0"
"610","(18,21]","M","3","0"
"611","(21,80]","F","3","0"
"612","(21,80]","F","2","1+"
"613","(16,18]","F","3","0"
"614","(18,21]","F",NA,"0"
"615","(21,80]","M","3","0"
"616","(18,21]","F","3","0"
"617","(18,21]","F","2","0"
"618","(21,80]","F","2","0"
"619","(16,18]","F","3","0"
"620","(16,18]","F","2","0"
"621","(21,80]","F","2","0"
"622","(21,80]","M","2","0"
"623","(21,80]","M","3","0"
"624","(16,18]","M","3","0"
"625","(16,18]","M","3","0"
"626","(21,80]","M","3","0"
"627","(18,21]","F","3","0"
"628","(21,80]","F","1","0"
"629","(18,21]","M","2","0"
"630","(21,80]","F","3","0"
"631","(21,80]","F",NA,"0"
"632","(16,18]","M","2","0"
"633","(18,21]","F","3","0"
"634","(21,80]","F","2","0"
"635","(18,21]","F","2","0"
"636","(21,80]","M","2","0"
"637","(21,80]","M","2","0"
"638","(16,18]","M","3","0"
"639","(21,80]","F","2","0"
"640","(21,80]","M","3","0"
"641","(16,18]","M","2","0"
"642","(16,18]","M","3","0"
"643","(21,80]","F","3","0"
"644","(21,80]","F","3","0"
"645","(16,18]","F","3","0"
"646","(21,80]","F","3","1+"
"647","(21,80]","F","2","0"
"648","(21,80]","M","1","0"
"649","(16,18]","F",NA,"0"
"650","(18,21]","M","2","1+"
"651","(21,80]","M","3","0"
"652","(21,80]","F","3","0"
"653","(18,21]","F","2","0"
"654","(16,18]","M","2","0"
"655","(21,80]","F","2","0"
"656","(21,80]","M","2","0"
"657","(21,80]","F","3","0"
"658","(21,80]","M","3","0"
"659","(16,18]","F","2","0"
"660","(18,21]","M","2","0"
"661","(16,18]","F","2","0"
"662","(21,80]","F","3","0"
"663","(21,80]","F","3","0"
"664","(18,21]","M","2","1+"
"665","(18,21]","F","3","0"
"666","(16,18]","M","2","0"
"667","(21,80]","F","3","0"
"668","(21,80]","F","3","0"
"669","(18,21]","F","3","0"
"670","(21,80]","M","3","0"
"671","(18,21]","F","3","0"
"672","(18,21]","F",NA,"0"
"673","(16,18]","F",NA,"0"
"674","(18,21]","F","3","1+"
"675","(16,18]","M","3","0"
"676","(16,18]","M","3","0"
"677","(21,80]","M","2","0"
"678","(21,80]","M",NA,"0"
"679","(21,80]","F","2","1+"
"680","(21,80]","M","3","0"
"681","(18,21]","F","3","0"
"682","(21,80]","F","3","0"
"683","(21,80]","M","1","0"
"684","(21,80]","F","3","0"
"685","(18,21]","M","3","0"
"686","(16,18]","F","3","0"
"687","(16,18]","F","2","0"
"688","(18,21]","M","3","0"
"689","(18,21]","M","3","0"
"690","(18,21]","M","3","0"
"691","(18,21]","M","2",NA
"692","(16,18]","F","2","0"
"693","(16,18]","F","2","0"
"694","(16,18]","F","3","0"
"695","(21,80]","F","2","0"
"696","(16,18]","M","3","0"
"697","(16,18]","M","2","0"
"698","(21,80]","F","2","0"
"699","(21,80]","F","2","0"
"700","(16,18]","M","3","0"
"701","(16,18]","M","2","0"
"702","(21,80]","M","3","0"
"703","(16,18]","F","3","0"
"704","(21,80]","F","3","0"
"705","(21,80]","F","3","0"
"706","(16,18]","M","3","0"
"707","(18,21]","F","2","0"
"708","(18,21]","F","2","0"
"709","(21,80]","F","3","0"
"710","(18,21]","F","3","0"
"711","(16,18]","M",NA,"0"
"712","(16,18]","F","2","0"
"713","(18,21]","F","2","0"
"714","(21,80]","F","3","0"
"715","(16,18]","M","2","0"
"716","(18,21]","F","2","0"
"717","(21,80]","F","2","0"
"718","(21,80]","F","2","0"
"719","(21,80]","F","2","0"
"720","(21,80]","F","3","0"
"721","(18,21]","F","2","0"
"722","(18,21]","M","3","0"
"723","(16,18]","F","3","0"
"724","(18,21]","M","2","0"
"725","(21,80]","M","2","0"
"726","(18,21]","F","3","1+"
"727","(21,80]","F","2","0"
"728","(16,18]","F","2","0"
"729","(21,80]","F","3","0"
"730","(16,18]","M","3","0"
"731","(21,80]","F","3","0"
"732","(16,18]","M","3","0"
