"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"253","M",16,0,0,0,NA,NA
"254","M",3,1,1,0,0,0
"255","M",4,1,1,0,0,0
"256","F",8,0,0,0,0,0
"257","F",11,0,0,0,0,NA
"258","F",7,0,0,0,0,0
"259","F",7,0,0,0,0,0
"260","M",9,1,0,0,0,NA
"261","F",1,0,0,0,0,0
"262","F",6,0,0,0,0,0
"263","F",10,0,0,0,0,NA
"264","F",10,0,0,0,0,NA
"265","M",6,0,0,0,0,0
"266","F",6,0,0,0,0,0
"267","M",2,0,0,0,0,0
"268","M",10,0,0,0,0,NA
"269","F",8,0,0,0,0,0
"270","F",15,0,0,0,NA,NA
"271","M",3,0,0,0,0,0
"272","M",4,0,0,0,0,0
"273","F",12,1,1,1,1,NA
"274","F",5,0,0,0,0,0
"275","M",4,0,0,0,0,0
"276","M",8,0,0,0,0,0
"277","F",15,0,0,0,NA,NA
"278","M",11,0,0,0,0,NA
"279","F",3,1,1,1,0,1
"280","M",6,0,0,0,0,0
"281","F",4,0,0,0,0,0
"282","F",12,0,0,0,0,NA
"283","F",2,0,0,0,0,0
"284","M",8,1,0,0,1,0
"285","M",2,0,0,0,0,0
"286","M",8,0,0,0,0,0
"287","M",6,0,0,0,0,0
"288","M",14,1,0,0,NA,NA
"289","F",7,0,0,0,0,0
"290","M",15,0,0,0,NA,NA
"291","F",9,1,1,1,0,NA
"292","F",14,0,0,0,NA,NA
"293","F",13,0,0,0,NA,NA
"294","F",3,0,0,0,0,0
"295","F",14,0,0,0,NA,NA
"296","M",8,0,0,0,0,0
"297","F",2,1,1,0,0,0
"298","F",6,0,0,0,0,0
"299","F",10,0,0,0,0,NA
"300","F",11,0,0,0,0,NA
"301","F",9,1,0,0,0,NA
"302","F",10,0,0,0,0,NA
"303","M",1,0,0,0,0,0
"304","M",16,0,0,0,NA,NA
"305","M",14,0,0,0,NA,NA
"306","M",4,0,0,0,0,0
"307","M",1,0,0,0,0,0
"308","F",2,0,0,0,0,0
"309","M",13,0,0,0,NA,NA
"310","F",4,0,0,0,0,0
"311","F",6,0,0,0,0,0
"312","F",1,0,0,0,0,0
"313","F",6,0,0,0,0,0
"314","M",3,0,0,0,0,0
"315","M",3,0,0,0,0,0
"316","F",7,0,0,0,0,0
"317","F",16,0,0,0,NA,NA
"318","M",10,0,0,0,0,NA
"319","M",6,0,0,0,0,0
"320","F",2,0,0,0,0,0
"321","F",2,0,0,0,0,0
"322","M",3,0,0,0,0,0
"323","M",8,0,0,0,0,0
"324","M",1,0,0,0,0,0
"325","M",1,1,1,1,1,1
"326","F",12,1,0,0,1,NA
"327","F",16,0,0,0,NA,NA
"328","F",6,0,0,0,0,0
"329","F",11,0,0,0,0,NA
"330","F",14,0,0,0,NA,NA
"331","F",5,0,0,0,0,0
"332","M",7,0,0,0,0,0
"333","F",2,0,0,0,0,0
"334","F",13,1,0,1,NA,NA
"335","F",6,0,0,0,0,0
"336","M",2,0,0,0,0,0
"337","F",13,1,0,0,NA,NA
"338","M",13,1,1,1,NA,NA
"339","F",1,0,0,0,0,0
"340","F",8,0,0,0,0,0
"341","F",7,0,0,0,0,0
"342","F",13,1,0,0,NA,NA
"343","M",13,1,0,0,NA,NA
"344","F",1,0,0,0,0,0
"345","F",6,0,0,0,0,0
"346","M",2,0,0,0,0,0
"347","F",2,0,0,0,0,0
"348","M",10,0,0,0,0,NA
"349","M",2,0,0,0,0,0
"350","M",8,0,0,0,0,0
"351","M",3,0,0,0,0,0
"352","F",2,0,0,0,0,0
"353","F",9,0,0,0,0,NA
"354","F",16,0,0,0,NA,NA
"355","M",11,0,0,0,0,NA
"356","F",6,0,0,0,0,0
"357","M",8,0,0,0,0,0
"358","F",6,0,0,0,0,0
"359","F",5,0,0,0,0,0
"360","F",1,0,0,0,0,0
"361","F",3,0,0,0,0,0
"362","F",14,0,0,0,NA,NA
"363","F",9,0,0,0,0,NA
"364","F",1,1,0,0,0,0
"365","F",6,0,0,0,0,0
"366","F",2,0,0,0,0,0
"367","M",3,0,0,0,0,0
"368","F",4,0,0,0,0,0
"369","F",5,0,0,0,0,0
"370","M",15,0,0,0,NA,NA
"371","F",15,0,0,0,NA,NA
"372","F",2,0,0,0,0,0
"373","M",10,0,0,0,0,NA
"374","F",4,0,0,0,0,0
"375","M",1,0,0,0,0,0
"376","M",2,0,0,0,0,0
"377","F",2,1,1,0,0,0
"378","M",16,1,1,0,NA,NA
"379","F",3,0,0,0,0,0
"380","F",3,0,0,0,0,0
"381","M",8,0,0,0,0,0
"382","F",3,0,0,0,0,0
"383","F",3,0,0,0,0,0
"384","M",2,1,1,1,0,0
"385","F",1,0,0,0,0,0
"386","M",8,0,0,0,0,0
"387","M",3,0,0,0,0,0
"388","M",12,0,0,0,0,NA
"389","F",11,0,0,0,0,NA
"390","F",15,0,0,0,NA,NA
"391","M",3,0,0,0,0,0
"392","F",16,1,0,0,NA,NA
"393","M",6,0,0,0,0,0
"394","M",6,0,0,0,0,0
"395","F",3,0,0,0,0,0
"396","F",6,0,0,0,0,0
"397","M",1,0,0,0,0,0
"398","F",15,0,0,0,NA,NA
"399","F",1,0,0,0,0,0
"400","F",12,1,1,1,1,NA
"401","F",8,0,0,0,0,0
"402","F",12,1,1,0,0,NA
"403","M",5,0,0,0,0,0
"404","F",3,0,0,0,0,0
"405","F",7,0,0,0,0,0
"406","F",8,0,0,0,0,0
"407","M",4,0,0,0,0,0
"408","F",2,0,0,0,0,0
"409","F",6,0,0,0,0,0
"410","M",1,0,0,0,0,0
"411","F",14,0,0,0,NA,NA
"412","M",6,0,0,0,0,0
"413","F",3,0,0,0,0,0
"414","F",5,0,0,0,0,0
"415","F",2,1,1,1,1,0
"416","F",1,0,0,0,0,0
"417","F",2,1,1,0,0,0
"418","F",16,0,0,0,NA,NA
"419","F",16,1,1,1,NA,NA
"420","M",2,0,0,0,0,0
"421","M",6,0,0,0,0,0
"422","F",6,0,0,0,0,0
"423","F",13,1,0,0,NA,NA
"424","M",7,0,0,0,0,0
"425","F",10,0,0,0,0,NA
"426","M",7,0,0,0,0,0
"427","M",1,0,0,0,0,0
"428","F",2,0,0,0,0,0
