"","sex","ef_age","new_age","acc_inv"
"251","F","[16,18]","[16,19]","0"
"252","F","(22,80]","(33,80]","0"
"253","F","(22,80]","(33,80]","0"
"254","M","(22,80]","(19,33]","1+"
"255","F","[16,18]","[16,19]","0"
"256","M","[16,18]","[16,19]","0"
"257","M","[16,18]","[16,19]","0"
"258","F","(22,80]","(19,33]","0"
"259","M","[16,18]","[16,19]","0"
"260","F","[16,18]","[16,19]","0"
"261","F","(22,80]","(19,33]","0"
"262","F","[16,18]","[16,19]","1+"
"263","M","[16,18]","[16,19]","0"
"264","F","(18,22]","(19,33]","0"
"265","F","(18,22]","(19,33]","0"
"266","F","[16,18]","[16,19]","0"
"267","F","[16,18]","[16,19]","0"
"268","F","(22,80]","(19,33]","0"
"269","F","(18,22]","(19,33]","0"
"270","M","(18,22]","[16,19]","0"
"271","M","[16,18]","[16,19]","0"
"272","M","[16,18]","[16,19]","0"
"273","M","(18,22]","[16,19]","0"
"274","F","(18,22]","(19,33]","0"
"275","M","[16,18]","[16,19]","0"
"276","F","[16,18]","[16,19]","0"
"277","M","[16,18]","[16,19]","0"
"278","F","(22,80]","(19,33]","0"
"279","F","[16,18]","[16,19]","1+"
"280","F","[16,18]","[16,19]","0"
"281","M","[16,18]","[16,19]","0"
"282","F","(22,80]","(33,80]","0"
"283","M","[16,18]","[16,19]","0"
"284","F","(18,22]","(19,33]","0"
"285","F","(18,22]","[16,19]","0"
"286","F","[16,18]","[16,19]","0"
"287","M","[16,18]","[16,19]","0"
"288","F","[16,18]","[16,19]","0"
"289","M","[16,18]","[16,19]","0"
"290","F","[16,18]","[16,19]","0"
"291","F","[16,18]","[16,19]","0"
"292","M","(22,80]","(19,33]","0"
"293","M","[16,18]","[16,19]","0"
"294","F","[16,18]","[16,19]","0"
"295","F","[16,18]","[16,19]","0"
"296","F","[16,18]","[16,19]","0"
"297","M","(18,22]","(19,33]","0"
"298","F","(22,80]","(19,33]","0"
"299","F","(18,22]","[16,19]","0"
"300","F","(22,80]","(33,80]","0"
"301","M","[16,18]","[16,19]","0"
"302","F","[16,18]","[16,19]","0"
"303","M","[16,18]","[16,19]","0"
"304","F","(18,22]","(19,33]","0"
"305","F","(22,80]","(33,80]","0"
"306","F","[16,18]","[16,19]","0"
"307","F","[16,18]","[16,19]","0"
"308","M","(18,22]","(19,33]","1+"
"309","F","[16,18]","[16,19]","0"
"310","F","(22,80]","(33,80]","0"
"311","M","[16,18]","[16,19]","0"
"312","F","(18,22]","[16,19]","0"
"313","F","(22,80]","(19,33]","0"
"314","M","(18,22]","(19,33]","0"
"315","F","[16,18]","[16,19]","0"
"316","F","(22,80]","(19,33]","0"
"317","F","[16,18]","[16,19]","0"
"318","M","[16,18]","[16,19]","0"
"319","M","[16,18]","[16,19]","0"
"320","F","[16,18]","[16,19]","0"
"321","F","[16,18]","[16,19]","0"
"322","F","[16,18]","[16,19]","0"
"323","F","(22,80]","(19,33]","0"
"324","M","(18,22]","[16,19]","0"
"325","M","[16,18]","[16,19]","0"
"326","F","[16,18]","[16,19]","0"
"327","M","(22,80]","(19,33]","0"
"328","M","(18,22]","[16,19]","0"
"329","F","(22,80]","(19,33]","0"
"330","M","(18,22]","(19,33]","0"
"331","F","(22,80]","(19,33]","0"
"332","M","[16,18]","[16,19]","1+"
"333","M","[16,18]","[16,19]","0"
"334","F","[16,18]","[16,19]","0"
"335","F","[16,18]","[16,19]","0"
"336","M","[16,18]","[16,19]","0"
"337","M","[16,18]","[16,19]","0"
"338","F","(18,22]","[16,19]","0"
"339","M","(22,80]","(33,80]","0"
"340","F","[16,18]","[16,19]","0"
"341","F","(22,80]","(33,80]","0"
"342","F","(22,80]","(33,80]","0"
"343","F","(22,80]","(33,80]","0"
"344","F","(22,80]","(33,80]","0"
"345","F","[16,18]","[16,19]","0"
"346","F","(18,22]","[16,19]","0"
"347","M","(22,80]","(33,80]","0"
"348","M","(22,80]","(19,33]","0"
"349","F","[16,18]","[16,19]","0"
"350","M","(18,22]","[16,19]","0"
"351","M","[16,18]","[16,19]","0"
