"","int_age","sex","freq","acc_inv"
"492",17,"F","1","0"
"493",33,"F","1","0"
"494",18,"M","1","0"
"495",19,"F","2","0"
"496",18,"F","2","0"
"497",41,"M","2","0"
"498",43,"F","2","0"
"499",17,"M","2","1+"
"500",17,"F","1","0"
"501",19,"F","1","0"
"502",18,"F","1","0"
"503",19,"F","1","1+"
"504",32,"M","3","0"
"505",31,"F","2","0"
"506",18,"M","1","1+"
"507",18,"M","1","0"
"508",17,"M","2","0"
"509",32,"F","1","0"
"510",18,"F","1","0"
"511",19,"M","1","0"
"512",18,"F","2","0"
"513",21,"M","2","0"
"514",18,"F","2","0"
"515",18,"M","1","0"
"516",45,"M","1","0"
"517",19,"F","1","0"
"518",18,"M","1","0"
"519",22,"M","1","0"
"520",18,"F","3","0"
"521",18,"M","2","0"
"522",17,"M","2","0"
"523",18,"M","3","0"
"524",18,"M","2","0"
"525",19,"F","3","0"
"526",25,"M","2","0"
"527",19,"M","1","0"
"528",18,"F","1","0"
"529",17,"M","1","0"
"530",18,"F","1","0"
"531",30,"F","1","0"
"532",17,"F","1","0"
"533",17,"F","1","0"
"534",20,"F","2","0"
"535",18,"F","2","0"
"536",17,"M","2","0"
"537",18,"M","2","0"
"538",24,"M","2","0"
"539",18,"F","1","0"
"540",17,"M","1","1+"
"541",20,"F","2","0"
"542",19,"M","1","0"
"543",17,"M","1","0"
"544",46,"F","2","0"
"545",33,"M","3","0"
"546",18,"F","1","0"
"547",18,"M","1","1+"
"548",22,"F","1","0"
"549",18,"M","1","0"
"550",30,"M","3","0"
"551",18,"M","2","1+"
"552",26,"M","1","0"
"553",24,"F","1","0"
"554",19,"M","1","0"
"555",20,"F","1","0"
"556",20,"F","1","0"
"557",22,"M","1","0"
"558",18,"M","1","0"
"559",18,"M","2","0"
"560",19,"M","3","0"
"561",19,"F","3","0"
"562",17,"M","1","0"
"563",19,"F","2","0"
"564",34,"M","2","0"
"565",57,"F","1","0"
"566",18,"M","1","0"
"567",18,"F","1","0"
"568",23,"F","1","0"
"569",22,"F","1","0"
"570",18,"F","1","0"
"571",32,"F","1","0"
"572",17,"M","1","0"
"573",19,"F","1","0"
"574",18,"F","3","0"
"575",18,"M","3","0"
"576",18,"F","1","0"
"577",29,"M","1","0"
"578",18,"F","1","0"
"579",24,"F","1","0"
"580",27,"M","2","0"
"581",18,"F","3","0"
"582",18,"F","1","0"
"583",37,"M","1","0"
"584",19,"F","1","0"
"585",20,"F","1","0"
"586",18,"M","1","0"
"587",18,"M","1","0"
"588",18,"M","3","0"
"589",19,"F","1","0"
"590",29,"F","1","0"
"591",18,"M","2","1+"
"592",33,"M","1","0"
"593",18,"M","1","0"
"594",17,"M","3","0"
"595",17,"M","2","0"
"596",21,"F","3","0"
"597",28,"F","1","0"
"598",19,"M","3","0"
"599",19,"F","2","0"
"600",32,"F","2","0"
"601",17,"F","2","0"
"602",18,"F","1","0"
"603",18,"F","1","0"
"604",20,"M","1","0"
"605",31,"F","1","0"
"606",27,"F","1","1+"
"607",18,"F","2","0"
"608",19,"F","3","0"
"609",22,"M","2","0"
"610",18,"F","2","0"
"611",20,"F","1","0"
"612",27,"F","1","0"
"613",18,"F","2","0"
"614",18,"F","1","0"
"615",22,"F","3","0"
"616",25,"M","1","0"
"617",22,"M","1","0"
"618",17,"M","2","0"
"619",18,"M","3","0"
"620",47,"M","2","0"
"621",19,"F","2","0"
"622",26,"F","1","0"
"623",20,"M","1","0"
"624",32,"F","3","0"
"625",54,"F","1","0"
"626",18,"M","1","0"
"627",18,"F","3","0"
"628",47,"F","1","0"
"629",20,"F","1","0"
"630",29,"M","1","0"
"631",34,"M","2","0"
"632",17,"M","2","0"
"633",22,"F","2","0"
"634",21,"M","1","0"
"635",17,"M","2","0"
"636",18,"M","1","0"
"637",26,"F","2","0"
"638",29,"F","3","0"
"639",18,"F","3","0"
"640",26,"F","1","1+"
"641",36,"F","2","0"
"642",26,"M","1","0"
"643",18,"F","3","0"
"644",20,"M","1","1+"
"645",32,"M","2","0"
"646",31,"F","2","0"
"647",19,"F","2","0"
"648",17,"M","2","0"
"649",47,"F","1","0"
"650",22,"M","1","0"
"651",33,"F","2","0"
"652",35,"M","2","0"
"653",17,"F","2","0"
"654",18,"M","1","0"
"655",17,"F","1","0"
"656",34,"F","3","0"
"657",22,"F","1","0"
"658",18,"M","1","1+"
"659",18,"F","1","0"
"660",17,"M","1","0"
"661",24,"F","3","0"
"662",22,"F","3","0"
"663",19,"F","2","0"
"664",34,"M","1","0"
"665",18,"F","3","0"
"666",18,"F","1","0"
"667",18,"F","1","0"
"668",21,"F","2","1+"
"669",18,"M","1","0"
"670",17,"M","2","0"
"671",32,"M","2","0"
"672",43,"M","1","0"
"673",55,"F","1","1+"
"674",36,"M","3","0"
"675",19,"F","1","0"
"676",23,"F","2","0"
"677",32,"M","1","0"
"678",39,"F","2","0"
"679",20,"M","1","0"
"680",18,"F","1","0"
"681",18,"F","1","0"
"682",18,"M","2","0"
"683",19,"M","2","0"
"684",18,"M","3","0"
"685",18,"F","1","0"
"686",18,"F","2","0"
"687",18,"F","2","0"
"688",37,"F","1","0"
"689",18,"M","3","0"
"690",18,"M","1","0"
"691",65,"F","2","0"
"692",26,"F","1","0"
"693",18,"M","2","0"
"694",17,"M","1","0"
"695",27,"M","2","0"
"696",18,"F","2","0"
"697",24,"F","2","0"
"698",32,"F","2","0"
"699",18,"M","2","0"
"700",20,"F","2","0"
"701",20,"F","1","0"
"702",28,"F","1","0"
"703",19,"F","2","0"
"704",18,"M","3","0"
"705",18,"F","1","0"
"706",19,"F","2","0"
"707",60,"F","3","0"
"708",18,"M","2","0"
"709",18,"F","1","0"
"710",22,"F","1","0"
"711",57,"F","1","0"
"712",44,"F","2","0"
"713",34,"F","2","0"
"714",21,"F","1","0"
"715",18,"M","3","0"
"716",18,"F","2","0"
"717",20,"M","1","0"
"718",32,"M","3","0"
"719",21,"F","1","1+"
"720",22,"F","1","0"
"721",18,"F","1","0"
"722",45,"F","1","0"
"723",18,"M","3","0"
"724",39,"F","3","0"
"725",18,"M","3","0"
"726",41,"F","2","0"
"727",18,"M","1","1+"
"728",21,"F","2","0"
"729",18,"M","2","1+"
"730",18,"M","1","1+"
"731",20,"F","1","0"
"732",20,"M","1","0"
"733",26,"F","1","0"
"734",18,"M","1","0"
"735",17,"F","2","0"
"736",44,"M","1","1+"
"737",20,"M","2","0"
"738",26,"M","1","0"
"739",33,"F","1","0"
"740",17,"M","1","0"
"741",32,"M","3","0"
"742",18,"M","2","0"
"743",19,"M","3","0"
"744",20,"M","3","0"
"745",17,"M","3","0"
"746",20,"M","1","0"
"747",22,"F","3","0"
"748",18,"M","1","0"
"749",18,"M","2","0"
"750",28,"M","1","0"
"751",48,"F","1","0"
"752",19,"M","3","0"
"753",35,"M","2","0"
"754",18,"F","2","0"
"755",22,"F","1","0"
"756",18,"F","2","1+"
"757",19,"F","2","0"
"758",18,"F","2","0"
"759",17,"F","3","0"
"760",60,"F","1","0"
"761",18,"M","3","0"
"762",31,"F","1","0"
"763",19,"M","3","0"
"764",27,"F","1","0"
"765",18,"F","3","0"
"766",26,"F","1","0"
"767",18,"M","2","0"
"768",19,"M","1","0"
"769",19,"M","2","0"
"770",17,"F","1","0"
"771",26,"M","1","0"
"772",22,"F","2","0"
"773",21,"F","2","0"
"774",18,"F","1","0"
"775",25,"M","2","0"
"776",35,"M","2","0"
"777",17,"M","2","0"
"778",21,"F","2","0"
"779",19,"M","3","0"
"780",19,"F","1","0"
"781",18,"F","1","0"
"782",18,"F","1","0"
"783",19,"M","3","0"
"784",17,"M","1","0"
"785",17,"F","1","0"
"786",34,"F","1","0"
"787",17,"F","2","0"
"788",17,"F","1","0"
"789",18,"M","1","0"
"790",18,"M","1","0"
"791",18,"F","3","0"
"792",33,"M","3","0"
"793",17,"F","1","0"
"794",18,"F","2","0"
"795",32,"F","1","0"
"796",34,"F","2","0"
"797",19,"M","2","0"
"798",18,"F","1","0"
"799",23,"F","2","0"
"800",18,"F","3","0"
"801",18,"M","1","0"
"802",31,"F","1","0"
"803",51,"F","1","0"
"804",18,"M","1","0"
"805",18,"F","1","0"
"806",49,"F","1","0"
"807",19,"M","1","0"
"808",43,"F","1","0"
"809",24,"F","1","0"
"810",21,"F","1","0"
"811",20,"F","3","0"
"812",18,"F","2","0"
"813",33,"M","2","0"
"814",19,"M","2","0"
"815",44,"F","2","0"
"816",20,"F","1","0"
"817",23,"F","2","0"
"818",26,"F","3","0"
"819",20,"F","1","0"
"820",18,"M","1","0"
"821",18,"M","2","0"
"822",18,"M","3","0"
"823",18,"F","1","0"
"824",18,"F","1","0"
"825",18,"F","1","0"
"826",18,"F","2","0"
"827",18,"M","1","0"
"828",18,"F","2","0"
"829",19,"F","1","0"
"830",19,"M","3","0"
"831",18,"F","1","0"
"832",31,"F","2","0"
"833",18,"F","2","0"
"834",20,"F","1","0"
"835",18,"M","1","0"
"836",18,"F","2","0"
"837",18,"M","1","0"
"838",38,"M","2","1+"
"839",18,"M","1","0"
"840",33,"F","1","0"
"841",24,"M","3","0"
"842",36,"F","1","0"
"843",17,"M","1","0"
"844",17,"M","1","1+"
"845",18,"F","2","0"
"846",18,"F","1","0"
"847",18,"F","2","1+"
"848",18,"F","2","0"
"849",20,"F","2","0"
"850",48,"M","1","0"
"851",18,"F","3","0"
"852",18,"F","1","0"
"853",18,"M","2","0"
"854",35,"F","2","0"
"855",17,"F","1","0"
"856",17,"M","1","0"
"857",27,"F","2","0"
"858",17,"M","1","0"
"859",19,"M","3","0"
"860",17,"M","2","0"
"861",18,"M","2","0"
"862",19,"F","2","0"
"863",18,"F","1","0"
"864",18,"F","1","0"
"865",18,"F","1","0"
"866",18,"F","1","0"
"867",18,"M","1","0"
"868",18,"F","3","0"
"869",18,"F","1","0"
"870",18,"M","2","0"
"871",20,"M","1","0"
"872",19,"M","1","0"
"873",18,"F","1","1+"
"874",35,"F","1","0"
"875",17,"F","2","0"
"876",18,"F","3","0"
"877",18,"F","1","0"
"878",18,"F","1","0"
"879",18,"M","3","0"
"880",17,"F","1","0"
"881",18,"F","1","0"
"882",20,"F","2","1+"
"883",21,"F","2","0"
"884",18,"F","3","0"
"885",19,"M","1","0"
"886",20,"F","1","0"
"887",17,"F","1","0"
"888",30,"F","2","0"
